,id,image_name,file_name,status,url,Unnamed: 0
0,1,ad6517af-6e93-404f-a7f0-63c2d831b08f-ad6517af-6e93-404f-a7f0-63c2d831b08f,1.png,True,https://cdn.customily.com/product-images/ad6517af-6e93-404f-a7f0-63c2d831b08f-ad6517af-6e93-404f-a7f0-63c2d831b08f.png,
1,2,d5ba696e-be02-4-d47c5738-4901-4ffb-96a1-3ae9a929d411,2.jpg,True,https://cdn.customily.com/product-images/d5ba696e-be02-4-d47c5738-4901-4ffb-96a1-3ae9a929d411.jpg,
2,3,035d1dad-9ec7-4dc0-ba34-61dfb53293f4-035d1dad-9ec7-4dc0-ba34-61dfb53293f4,3.png,True,https://cdn.customily.com/product-images/035d1dad-9ec7-4dc0-ba34-61dfb53293f4-035d1dad-9ec7-4dc0-ba34-61dfb53293f4.png,
3,4,987e7591-fbc9-43e1-a7bf-54547b60c09e-987e7591-fbc9-43e1-a7bf-54547b60c09e,4.png,True,https://cdn.customily.com/product-images/987e7591-fbc9-43e1-a7bf-54547b60c09e-987e7591-fbc9-43e1-a7bf-54547b60c09e.png,
4,5,85cd8edf-ef6f-438b-b634-c792006ab634-85cd8edf-ef6f-438b-b634-c792006ab634,5.png,True,https://cdn.customily.com/product-images/85cd8edf-ef6f-438b-b634-c792006ab634-85cd8edf-ef6f-438b-b634-c792006ab634.png,
5,6,b166c6bb-98a5-4db0-a832-51633feb2408-b166c6bb-98a5-4db0-a832-51633feb2408,6.png,True,https://cdn.customily.com/product-images/b166c6bb-98a5-4db0-a832-51633feb2408-b166c6bb-98a5-4db0-a832-51633feb2408.png,
6,7,76361575-29ed-4d6d-9f7f-07706cb6f70a-76361575-29ed-4d6d-9f7f-07706cb6f70a,7.png,True,https://cdn.customily.com/product-images/76361575-29ed-4d6d-9f7f-07706cb6f70a-76361575-29ed-4d6d-9f7f-07706cb6f70a.png,
7,8,95b4126e-2406-4f07-a6e5-7059f058825a-95b4126e-2406-4f07-a6e5-7059f058825a,8.png,True,https://cdn.customily.com/product-images/95b4126e-2406-4f07-a6e5-7059f058825a-95b4126e-2406-4f07-a6e5-7059f058825a.png,
8,9,9273182b-734b-4ec3-89a0-9fab1f25f3e3-9273182b-734b-4ec3-89a0-9fab1f25f3e3,9.png,True,https://cdn.customily.com/product-images/9273182b-734b-4ec3-89a0-9fab1f25f3e3-9273182b-734b-4ec3-89a0-9fab1f25f3e3.png,
9,10,3b0e01de-45f0-428d-a8e4-6ccda88ea467-3b0e01de-45f0-428d-a8e4-6ccda88ea467,10.png,True,https://cdn.customily.com/product-images/3b0e01de-45f0-428d-a8e4-6ccda88ea467-3b0e01de-45f0-428d-a8e4-6ccda88ea467.png,
10,11,9de91082-ef3a-4-f157f8aa-9eb5-42f3-a39b-a9c1fd37c776,11.jpg,True,https://cdn.customily.com/product-images/9de91082-ef3a-4-f157f8aa-9eb5-42f3-a39b-a9c1fd37c776.jpg,
0,12,v=64255358434074746511676541469,12.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/eb-menu.png?v=64255358434074746511676541469,0.0
1,13,v=1672218737,13.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/LOGO_CHECKOUT_PAGE_Tm_2_30360d49-219c-4bab-b89b-acb9b25dfc32_410x.png?v=1672218737,1.0
2,14,v=123366842444774287131676541468,14.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/eb-finding.png?v=123366842444774287131676541468,2.0
3,15,v=157153738951192640751676541470,15.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/eb-userlogin.png?v=157153738951192640751676541470,3.0
4,16,v=102448219787711219871676541469,16.png,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/eb-shoppingcart.png?v=102448219787711219871676541469,4.0
5,17,v=135032737531250603901676541466,17.svg,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/close.svg?v=135032737531250603901676541466,5.0
6,18,v=1665479875,18.png,True,https://cdn.shopify.com/s/files/1/2418/2505/files/Occation.png?v=1665479875,6.0
7,19,v=93085344531755168891676541454,19.svg,True,https://cdn.shopify.com/s/files/1/2418/2505/t/189/assets/back.svg?v=93085344531755168891676541454,7.0
